epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,104,5.2e-06,1.67001,1.54325,1.86855,1,-0.00262809,0,0.00877154,0.00836182,0,0.01,0.910714,17600,1,1,42.222,0.999907,42.2181,15.1628,0.131902,712.5,1.66998
0,105,5.25e-06,1.77911,1.54325,2.12048,1,-0.0026029,0,0.00868727,0.00828101,0,0.01,0.911504,17600.3,1,1,50.1103,0.999923,50.1065,15.2083,0.131507,714,1.77908
0,106,5.3e-06,1.97633,2.29191,2.12048,1,-0.00277724,0,0.00926906,0.00845343,0,0.01,0.912281,17604,1,1,61.5262,0.999902,61.5202,15.2146,0.131453,602,1.9763
0,107,5.35e-06,2.79239,2.29191,2.12048,1,-0.00273035,0,0.00911317,0.00825826,0,0.01,0.913043,17603.2,1,1,95.742,0.999699,95.7131,15.3376,0.130399,265.5,2.79237
0,108,5.4e-06,2.26393,1.81807,2.70979,1,-0.00263164,0,0.00878338,0.00831663,0,0.01,0.913793,17600.6,1,1,24.224,0.998666,24.1917,15.7614,0.126892,474.5,2.2639
0,109,5.45e-06,1.7743,1.81807,1.26728,1,-0.00262663,0,0.00876615,0.00822344,0,0.01,0.91453,17600.1,1,1,69.8087,0.999947,69.805,16.0553,0.124569,700.5,1.77428
0,110,5.5e-06,2.59961,2.11178,3.08744,1,-0.00275177,0,0.00918401,0.00815386,0,0.01,0.915254,17601.6,1,1,89.9579,0.999788,89.9388,15.8839,0.125914,307.5,2.59958
0,111,5.55e-06,2.17311,2.0109,3.08744,1,-0.00272945,0,0.00910859,0.00822246,0,0.01,0.915966,17602.7,1,1,75.7293,0.999893,75.7212,15.5174,0.128888,499.5,2.17308
0,112,5.6e-06,1.26108,1.18768,3.08744,1,-0.00233544,0,0.00779463,0.00793921,0,0.01,0.916667,17600.6,1,1,24.7985,0.999758,24.7925,15.2355,0.131272,929,1.26105
0,113,5.65e-06,1.6579,1.90042,1.41538,1,-0.00247707,0,0.00826672,0.00796275,0,0.01,0.917355,17598.5,1,1,21.4208,0.999891,21.4185,14.9135,0.134107,754,1.65788
0,114,5.7e-06,2.5961,2.12389,1.41538,1,-0.00260249,0,0.00868619,0.00814086,0,0.01,0.918033,17598.7,1,1,80.2897,0.999702,80.2658,15.9015,0.125774,275.5,2.59607
0,115,5.75e-06,2.06662,2.67564,1.41538,1,-0.00259251,0,0.00865175,0.00799686,0,0.01,0.918699,17599.6,1,1,110.43,0.999959,110.426,15.8525,0.126163,546.5,2.0666
0,116,5.8e-06,1.37129,1.42711,1.41538,1,-0.00236282,0,0.00788557,0.00780773,0,0.01,0.919355,17600.2,1,1,12.6249,0.999382,12.6171,15.4404,0.12953,893,1.37127
0,117,5.85e-06,1.71895,1.42711,1.64041,1,-0.00247355,0,0.00825488,0.00793726,0,0.01,0.92,17602.5,1,1,24.3436,0.999836,24.3396,15.1553,0.131967,687.5,1.71892
0,118,5.9e-06,1.79572,1.42711,2.00707,1,-0.00245858,0,0.00820497,0.00786504,0,0.01,0.920635,17599.9,1,1,23.6222,0.999805,23.6176,15.2504,0.131144,676.5,1.7957
0,119,5.95e-06,2.16513,1.87361,2.00707,1,-0.00242361,0,0.00808875,0.00784491,0,0.01,0.92126,17604,1,1,46.2322,0.99961,46.2142,15.2629,0.131036,431,2.16511
0,120,6e-06,2.97979,1.87361,2.00707,1,-0.00250335,0,0.00835764,0.00787898,0,0.01,0.921875,17604.9,1,1,337.552,0.999943,337.532,15.1222,0.132256,144,2.97977
0,121,6.05e-06,2.12044,1.87361,2.68094,1,-0.00243513,0,0.00812723,0.00781926,0,0.01,0.922481,17602.5,1,1,53.8053,0.999787,53.7938,15.3079,0.130652,493.5,2.12042
0,122,6.1e-06,1.55156,1.45303,2.68094,1,-0.00252313,0,0.00842031,0.00784702,0,0.01,0.923077,17598.7,1,1,17.2145,0.999841,17.2118,15.6794,0.127556,772.5,1.55154
0,123,6.15e-06,2.00975,1.45303,2.68094,1,-0.00249266,0,0.00831851,0.00776728,0,0.01,0.923664,17607.3,1,1,47.3573,0.999852,47.3503,15.9622,0.125296,531.5,2.00973
0,124,6.2e-06,1.56441,1.58929,2.68094,1,-0.00244621,0,0.00816376,0.00774854,0,0.01,0.924242,17602.5,1,1,9.03658,0.999337,9.03058,15.8866,0.125893,764.5,1.56439
0,125,6.25e-06,2.08003,2.62784,2.68094,1,-0.00251885,0,0.00840605,0.0077119,0,0.01,0.924812,17608.5,1,1,20.5306,0.999179,20.5138,16.0552,0.12457,550,2.08001
0,126,6.3e-06,1.43186,2.62784,2.68094,1,-0.00240256,0,0.00801822,0.0076466,0,0.01,0.925373,17600.7,1,1,21.3121,0.999824,21.3083,16.1004,0.12422,852,1.43183
0,127,6.35e-06,2.69056,2.46765,2.68094,1,-0.00260761,0,0.0087037,0.00783485,0,0.01,0.925926,17602.3,1,1,87.2696,0.999725,87.2456,15.869,0.126032,274.5,2.69054
0,128,6.4e-06,1.93594,2.46765,2.68094,1,-0.00237742,0,0.00793491,0.00763508,0,0.01,0.926471,17600.3,1,1,21.171,0.999543,21.1613,15.7433,0.127038,638,1.93591
0,129,6.45e-06,1.90336,2.46765,2.68094,1,-0.00241677,0,0.00806644,0.00773189,0,0.01,0.927007,17601.5,1,1,21.16,0.99949,21.1493,15.8477,0.126201,641.5,1.90333
0,130,6.5e-06,1.97233,1.77014,2.68094,1,-0.00254514,0,0.00849367,0.00769997,0,0.01,0.927536,17603.8,1,1,40.1,0.999827,40.0931,16.0829,0.124356,577,1.9723
0,131,6.55e-06,1.37811,1.29439,2.68094,1,-0.0023274,0,0.00776753,0.00750906,0,0.01,0.928058,17597.6,1,1,13.847,0.999643,13.842,15.8138,0.126472,855,1.37809
