epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,66,3.3e-06,2.53205,2.61494,2.44915,1,-0.00362626,0,0.0121259,0.0120916,0,0.01,0.864865,13320.4,1,1,3.47215,0.0475091,0.164959,14.0143,0.142711,678,2.53201
0,67,3.35e-06,3.21066,3.18601,2.44915,1,-0.003735,0,0.0124901,0.0123325,0,0.01,0.866667,13320.4,1,1,4.46623,0.0424788,0.18972,13.9788,0.143073,529,3.21062
0,68,3.4e-06,2.47706,2.70182,2.44915,1,-0.00365436,0,0.01222,0.0121296,0,0.01,0.868421,13320.4,1,1,3.42825,0.0468059,0.160462,14.1592,0.141251,665,2.47702
0,69,3.45e-06,3.70584,4.0792,2.44915,1,-0.00374537,0,0.0125228,0.0121368,0,0.01,0.87013,13320.4,1,1,5.21972,0.0398642,0.20808,14.4798,0.138124,471,3.70581
0,70,3.5e-06,3.34011,4.0792,4.45451,1,-0.00364736,0,0.0121944,0.0119551,0,0.01,0.871795,13320.4,1,1,4.54037,0.0403663,0.183278,14.1996,0.140849,536,3.34008
0,71,3.55e-06,3.34116,4.95716,4.45451,1,-0.00358776,0,0.0119929,0.01168,0,0.01,0.873418,13320.4,1,1,4.44612,0.0395991,0.176062,13.6113,0.146937,554.5,3.34112
0,72,3.6e-06,5.56223,4.95716,4.45451,1,-0.00346304,0,0.0115724,0.0112353,0,0.01,0.875,13320.4,1,1,7.58187,0.0264344,0.200422,13.9399,0.143473,103,5.56219
0,73,3.65e-06,3.57197,1.98361,4.45451,1,-0.003519,0,0.0117635,0.011693,0,0.01,0.876543,13320.4,1,1,4.63589,0.0376948,0.174749,13.7596,0.145353,484.5,3.57193
0,74,3.7e-06,2.39071,2.44562,4.45451,1,-0.00366258,0,0.0122465,0.0120946,0,0.01,0.878049,13320.4,1,1,3.39821,0.0470773,0.159979,14.3118,0.139745,681,2.39067
0,75,3.75e-06,2.95868,2.44562,4.45451,1,-0.00355676,0,0.01189,0.0117455,0,0.01,0.879518,13320.4,1,1,3.95152,0.0425122,0.167988,13.9542,0.143326,623,2.95864
