epoch,step,lr,cfm,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,74,3.7e-06,1.92445,-0.00308132,0,0.0102873,0.00971504,0,0.878049,17605.8,1,1,26.9987,0.999359,26.9814,16.3708,0.122169,681,1.92442
0,75,3.75e-06,2.03165,-0.00290377,0,0.00969464,0.00927297,0,0.879518,17603.6,1,1,99.1124,0.999892,99.1017,16.3912,0.122017,623,2.03162
0,76,3.8e-06,1.76994,-0.00291253,0,0.00972335,0.00935428,0,0.880952,17600.4,1,1,27.865,0.999592,27.8536,16.3778,0.122117,727,1.76991
0,77,3.85e-06,2.67774,-0.00308457,0,0.0102985,0.00963343,0,0.882353,17604.4,1,1,23.4612,0.99664,23.3824,16.2879,0.122791,422.5,2.67771
0,78,3.9e-06,2.04073,-0.00277385,0,0.00926059,0.00895558,0,0.883721,17609.2,1,1,107.454,0.999904,107.443,16.3045,0.122665,637.5,2.0407
0,79,3.95e-06,1.96102,-0.00289869,0,0.00967652,0.00910364,0,0.885057,17605.1,1,1,63.3801,0.999858,63.371,16.3785,0.122111,650,1.96099
0,80,4e-06,2.72419,-0.00274737,0,0.00917391,0.00885708,0,0.886364,17605.1,1,1,145.04,0.999863,145.02,16.3817,0.122087,391,2.72416
0,81,4.05e-06,1.99597,-0.00281096,0,0.00938377,0.00905625,0,0.88764,17603.3,1,1,69.3015,0.9999,69.2945,16.3412,0.12239,643.5,1.99594
0,82,4.1e-06,2.17141,-0.00266609,0,0.00890123,0.00877696,0,0.888889,17602.2,1,1,148.95,0.999911,148.937,16.3602,0.122248,574,2.17138
0,83,4.15e-06,3.04678,-0.00280214,0,0.00935701,0.00878483,0,0.89011,17605.4,1,1,247.43,0.999904,247.406,16.0981,0.124238,255,3.04676
